Model,Word Accuracy,Sentence Accuracy,BLEU Score,ROUGE-L,Character Accuracy,Edit Distance
Dictionary-based,0.34234234234234234,0.0,0.09105414776541167,0.36930097680097684,0.2729044834307992,13.7
ML-based (word_based),0.5585585585585585,0.0,0.17086580427683765,0.5660393772893773,0.36302895322939865,7.8
ML-based (character_based),0.0,0.0,0.0,0.0,0.17005545286506468,20.6
